============================== SRIM-2013.00 ==============================
==============================================================================
------------------------------------------------------------------------------
====== TRIM Calc.=  C(67.9 keV) ==> None(  2 um) =============================
------------------------------------------------------------------------------
============================================================
º     Ion Name   =      C                                  º
º     Ion Mass   =    012.011 amu                          º
º     Ion Energy =000000067.9 keV                          º
============================================================
>      C  Displacement Energy of  C = 0028.00000 eV
  Latt.Binding Energy of  C = 0003.00000 eV
  SurfaceBind. Energy of  C = 0007.41000 eV
============================================================
 
==========================  COLLISION HISTORY  =======================================================
  NOTES: Only Ion Collisions which produce Displacements are tabulated.                               
         Atom Sums and Averages are Incomplete if Recoil Cascades Leave Target.                       
         Target DISPlacements = VACancies + REPLACement Collisions.                                   
         Target VACancies = INTERstitials + Sputtered + Transmitted Atoms.                            
                            Recoil Atoms which end at the surface, are not counted (see manual).      
======================================================================================================
  Ion    Energy    Depth     Lateral Distance (A)   Se    Atom  Recoil    Target Target Target Target 
  Numb   (keV)      (A)       Y Axis    Z Axis    (eV/A)  Hit  Energy(eV) DISP.  VAC.   REPLAC INTER  
------------------------------------------------------------------------------------------------------
³00001³65.57E+00³35219.E-03³ 1108.E-04³ 2714.E-04³0065.07³  C ³30176.E-03³ <== Start of New Cascade  ³
=================================================================================
  Recoil Atom Energy(eV)   X (A)      Y (A)      Z (A)   Vac Repl Ion Numb 00001=
Û 00001   06  30176.E-03 3522.E-02  1108.E-04  2714.E-04  1   00 Û<ÄPrime RecoilÛ
==================================================================
³                                Summary of Above Cascade ==> ³30176.E-03³000001³000001³000000³000001³
³00001³63.89E+00³67826.E-03³ 1177.E-04³-1597.E-04³0064.39³  C ³35828.E+00³ <== Start of New Cascade  ³
=================================================================================
  Recoil Atom Energy(eV)   X (A)      Y (A)      Z (A)   Vac Repl Ion Numb 00001=
Û 00111   06  31011.E-03 1069.E-01 -4798.E-02  3131.E-01  1   00 Û
Û 00112   06  16019.E-02 1057.E-01 -4496.E-02  3036.E-01  1   00 Û
Û 00113   06  38937.E-01 1052.E-01 -4355.E-02  2769.E-01  1   00 Û
Û 00114   06  33150.E-03 1677.E-01 -7106.E-02  3007.E-01  1   00 Û
Û 00115   06  61458.E-03 1675.E-01 -7263.E-02  2999.E-01  1   00 Û
Û 00116   06  34140.E-03 1680.E-01 -7308.E-02  2982.E-01  1   00 Û
Û 00117   06  64055.E-03 1651.E-01 -7866.E-02  3026.E-01  1   00 Û
Û 00118   06  40696.E-03 1657.E-01 -8033.E-02  3024.E-01  1   00 Û
Û 00119   06  56726.E-03 1619.E-01 -8175.E-02  3055.E-01  1   00 Û
Û 00120   06  34911.E-02 1614.E-01 -8252.E-02  3070.E-01  1   00 Û
Û 00121   06  63285.E-03 1639.E-01 -8705.E-02  3077.E-01  1   00 Û
Û 00122   06  00000.E+00 1641.E-01 -8546.E-02  3085.E-01  0   01 Û
Û 00123   06  57636.E-03 1641.E-01 -8546.E-02  3085.E-01  1   00 Û
Û 00124   06  58681.E-03 1635.E-01 -8541.E-02  3072.E-01  1   00 Û
Û 00125   06  33263.E-03 1556.E-01 -8498.E-02  3102.E-01  1   00 Û
Û 00126   06  31618.E-03 1511.E-01 -8643.E-02  3127.E-01  1   00 Û
Û 00127   06  25936.E-02 1495.E-01 -8711.E-02  3131.E-01  1   00 Û
Û 00128   06  69931.E-03 1518.E-01 -8193.E-02  3191.E-01  1   00 Û
Û 00129   06  39306.E-03 1508.E-01 -8485.E-02  3174.E-01  1   00 Û
Û 00130   06  10909.E-02 1512.E-01 -8582.E-02  3160.E-01  1   00 Û
Û 00131   06  40355.E-03 1520.E-01 -9084.E-02  3169.E-01  1   00 Û
Û 00132   06  28490.E-03 1519.E-01 -8744.E-02  3162.E-01  1   00 Û
Û 00133   06  41496.E-03 1409.E-01 -8859.E-02  3114.E-01  1   00 Û
Û 00134   06  15109.E-02 1392.E-01 -8848.E-02  3108.E-01  1   00 Û
Û 00135   06  15672.E-02 1321.E-01 -8520.E-02  3065.E-01  1   00 Û
Û 00136   06  77728.E-03 1311.E-01 -8121.E-02  3094.E-01  1   00 Û
Û 00137   06  46538.E-03 1295.E-01 -8134.E-02  3088.E-01  1   00 Û
Û 00138   06  44436.E-03 1324.E-01 -8370.E-02  3074.E-01  1   00 Û
Û 00139   06  31167.E-02 1258.E-01 -7742.E-02  2991.E-01  1   00 Û
Û 00140   06  11824.E-02 1302.E-01 -8621.E-02  3018.E-01  1   00 Û
Û 00141   06  43971.E-03 1270.E-01 -8205.E-02  3014.E-01  1   00 Û
Û 00142   06  42356.E-03 1209.E-01 -7284.E-02  2966.E-01  1   00 Û
Û 00143   06  81567.E-03 1168.E-01 -6769.E-02  2938.E-01  1   00 Û
Û 00144   06  37116.E-03 1176.E-01 -6709.E-02  2903.E-01  1   00 Û
Û 00145   06  00000.E+00 1182.E-01 -6851.E-02  2912.E-01  0   01 Û
Û 00146   06  31910.E-03 1182.E-01 -6851.E-02  2912.E-01  1   00 Û
Û 00147   06  70776.E-02 1117.E-01 -6221.E-02  2889.E-01  1   00 Û
Û 00148   06  34927.E-03 1067.E-01 -5307.E-02  3021.E-01  1   00 Û
Û 00149   06  32865.E-03 1082.E-01 -5372.E-02  3013.E-01  1   00 Û
Û 00150   06  28745.E-03 1096.E-01 -5342.E-02  3003.E-01  1   00 Û
Û 00151   06  47439.E-03 1106.E-01 -5344.E-02  2988.E-01  1   00 Û
Û 00152   06  21043.E-02 1107.E-01 -5397.E-02  2953.E-01  1   00 Û
Û 00153   06  00000.E+00 1109.E-01 -4871.E-02  2847.E-01  0   01 Û
Û 00154   06  35707.E-03 1109.E-01 -4871.E-02  2847.E-01  1   00 Û
Û 00155   06  34923.E-03 1107.E-01 -5114.E-02  2889.E-01  1   00 Û
Û 00156   06  29449.E-03 1102.E-01 -5325.E-02  2937.E-01  1   00 Û
Û 00157   06  13696.E-02 1122.E-01 -5904.E-02  2905.E-01  1   00 Û
Û 00158   06  40671.E-03 1133.E-01 -6506.E-02  2846.E-01  1   00 Û
Û 00159   06  34789.E-03 1101.E-01 -5619.E-02  2855.E-01  1   00 Û
Û 00160   06  81620.E-03 1007.E-01 -4027.E-02  2677.E-01  1   00 Û
Û 00161   06  48422.E-02 9773.E-02 -3771.E-02  2597.E-01  1   00 Û
Û 00162   06  57227.E-03 1012.E-01 -2193.E-02  2678.E-01  1   00 Û
Û 00163   06  29949.E-03 9999.E-02 -2098.E-02  2668.E-01  1   00 Û
Û 00164   06  66457.E-03 9912.E-02 -2075.E-02  2653.E-01  1   00 Û
Û 00165   06  54785.E-03 9918.E-02 -2120.E-02  2635.E-01  1   00 Û
Û 00166   06  35819.E-03 9877.E-02 -3255.E-02  2596.E-01  1   00 Û
Û 00167   06  36107.E-03 9778.E-02 -3594.E-02  2599.E-01  1   00 Û
Û 00168   06  42477.E-03 9372.E-02 -2837.E-02  2331.E-01  1   00 Û
Û 00169   06  82033.E-02 9291.E-02 -2635.E-02  2282.E-01  1   00 Û
Û 00170   06  29763.E-02 1034.E-01 -4139.E-02  2526.E-01  1   00 Û
Û 00171   06  38193.E-03 1134.E-01 -4022.E-02  2506.E-01  1   00 Û
Û 00172   06  97200.E-03 1050.E-01 -4078.E-02  2528.E-01  1   00 Û
Û 00173   06  56369.E-03 1067.E-01 -3864.E-02  2551.E-01  1   00 Û
Û 00174   06  31557.E-03 1075.E-01 -3743.E-02  2540.E-01  1   00 Û
Û 00175   06  12802.E-02 9813.E-02 -4025.E-02  2455.E-01  1   00 Û
Û 00176   06  43343.E-03 9906.E-02 -4031.E-02  2507.E-01  1   00 Û
Û 00177   06  29937.E-03 9474.E-02 -3375.E-02  2380.E-01  1   00 Û
Û 00178   06  83878.E-03 9090.E-02 -2283.E-02  2223.E-01  1   00 Û
Û 00179   06  52334.E-03 9094.E-02 -2381.E-02  2208.E-01  1   00 Û
Û 00180   06  43710.E-03 8925.E-02 -2035.E-02  2178.E-01  1   00 Û
Û 00181   06  64303.E-01 8779.E-02 -1756.E-02  2135.E-01  1   00 Û
Û 00182   06  40095.E-03 9289.E-02  7058.E-02  9703.E-02  1   00 Û
Û 00183   06  23332.E-02 9404.E-02  6954.E-02  9614.E-02  1   00 Û
Û 00184   06  72925.E-05 9142.E-02  6222.E-02  9436.E-02  0   01 Û
Û 00185   06  53176.E-03 9142.E-02  6222.E-02  9436.E-02  1   00 Û
Û 00186   06  35853.E-03 9117.E-02  6378.E-02  9520.E-02  1   00 Û
Û 00187   06  38029.E-03 9144.E-02  6395.E-02  9391.E-02  1   00 Û
Û 00188   06  75076.E-03 9359.E-02  6678.E-02  9399.E-02  1   00 Û
Û 00189   06  58080.E-03 9173.E-02  5782.E-02  9875.E-02  1   00 Û
Û 00190   06  40235.E-03 9180.E-02  5887.E-02  9731.E-02  1   00 Û
Û 00191   06  10962.E-02 9211.E-02  4837.E-02  1036.E-01  1   00 Û
Û 00192   06  75925.E-03 9201.E-02  4621.E-02  1008.E-01  1   00 Û
